"Level";"RoleAssignmentId";"RoleAssignmentPIMRelated";"RoleAssignmentPIMAssignmentType";"RoleAssignmentPIMAssignmentSlotStart";"RoleAssignmentPIMAssignmentSlotEnd";"CreatedBy";"CreatedOn";"UpdatedBy";"UpdatedOn";"MgId";"MgName";"MgParentId";"MgParentName";"SubscriptionId";"SubscriptionName";"Scope";"ScopeTenOrMgOrSubOrRGOrRes";"RoleAssignmentScopeName";"RoleAssignmentScopeRG";"RoleAssignmentScopeRes";"RoleClear";"RoleId";"RoleType";"RoleDataRelated";"AssignmentType";"AssignmentInheritFrom";"GroupMembersCount";"ObjectDisplayName";"ObjectSignInName";"ObjectId";"ObjectType";"RbacRelatedPolicyAssignmentClear";"RoleSecurityCustomRoleOwner";"RoleSecurityOwnerAssignmentSP";"RoleCanDoRoleAssignments"
"1";"/providers/microsoft.authorization/roleassignments/1c2f5871-2b4a-40a6-9847-5c5b64cacf20";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"07/17/2024 03:49:36";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"07/17/2024 03:49:36";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"Microsoft Demos";"n/a";"3ba76acc-be40-4508-a9cb-2853c9ef3396";"SP APP EXT";"none";"0";"0";"True"
"1";"/providers/microsoft.authorization/roleassignments/2324fe2e-1979-4acb-8926-90cada27d38f";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"03/25/2025 21:11:31";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"03/25/2025 21:11:31";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"n/a";"n/a";"fcbfff18-947f-4838-93bb-7d7c05bc6104";"Unknown";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/396a42e5-df21-442d-baea-be4417b43786";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:07:45";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:07:45";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Contributor";"b24988ac-6180-42a0-ab88-20f7382dd24c";"Builtin";"false";"direct";"";"";"n/a";"n/a";"a829b1b4-a9cf-4a4c-bea6-5de6be9284d0";"Unknown";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/3f6a3508-613b-4151-aa07-91279a479b72";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"08/31/2024 23:13:59";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"08/31/2024 23:13:59";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"n/a";"n/a";"9411b893-21f5-4159-8c19-a3751d350461";"Unknown";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/609aeea5-19ff-4c15-852c-f55a0dfa570a";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/17/2025 01:41:26";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/17/2025 01:41:26";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"System Administrator";"autocloudarc@autocloudarc.dev";"1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"User Member";"none";"0";"0";"True"
"1";"/providers/microsoft.authorization/roleassignments/6c2f6ce5-c83f-4266-bdbe-46819a8133c9";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"07/26/2024 02:15:11";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"07/26/2024 02:15:11";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Contributor";"b24988ac-6180-42a0-ab88-20f7382dd24c";"Builtin";"false";"direct";"";"";"spn-fed-ghe-0075";"n/a";"39f85f35-a02b-43d2-a0c3-3a963360e007";"SP APP INT";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/7e5d0746-7b48-4318-a5f2-5572ff6a0a71";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"08/28/2024 13:34:50";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"08/28/2024 13:34:50";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"n/a";"n/a";"33a5a488-bf6b-4f23-88a1-58b647f32906";"Unknown";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/8d0f1561-2f71-4397-a7e3-95e1523f51a2";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:08:00";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:08:00";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"User Access Administrator";"18d7d88d-d35e-4fb5-a5c3-7773c20a72d9";"Builtin";"false";"direct";"";"";"n/a";"n/a";"a829b1b4-a9cf-4a4c-bea6-5de6be9284d0";"Unknown";"none";"0";"0";"True"
"1";"/providers/microsoft.authorization/roleassignments/b5e24de5-913d-41b4-81dc-266b08f3f94f";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:07:05";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/01/2024 02:07:05";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Reader";"acdd72a7-3385-48ef-bd42-f606fba81ae7";"Builtin";"false";"direct";"";"";"n/a";"n/a";"a829b1b4-a9cf-4a4c-bea6-5de6be9284d0";"Unknown";"none";"0";"0";"False"
"1";"/providers/microsoft.authorization/roleassignments/b9aecb21-3e2d-4b2d-8d19-490702ebe7a1";"False";"";"";"";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/02/2024 01:23:00";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"09/02/2024 01:23:00";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"inherited Tenant";"Ten";"";"";"";"Owner";"8e3af657-a8ff-443c-a75c-2fe8c4bcb635";"Builtin";"false";"direct";"";"";"n/a";"n/a";"a829b1b4-a9cf-4a4c-bea6-5de6be9284d0";"Unknown";"none";"0";"0";"True"
