"Level";"MgId";"MgName";"MgParentId";"MgParentName";"subscriptionId";"subscriptionName";"PolicyAssignmentId";"PolicyAssignmentScopeName";"PolicyAssignmentDisplayName";"PolicyAssignmentDescription";"PolicyAssignmentEnforcementMode";"PolicyAssignmentNonComplianceMessages";"PolicyAssignmentNotScopes";"PolicyAssignmentParameters";"PolicyAssignmentMI";"AssignedBy";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"Effect";"PolicyNameClear";"PolicyAvailability";"PolicyDescription";"PolicyId";"PolicyVariant";"PolicyType";"PolicyIsALZ";"PolicyCategory";"Inheritance";"ExcludedScope";"RelatedRoleAssignmentsClear";"mgOrSubOrRG";"NonCompliantPolicies";"CompliantPolicies";"NonCompliantResources";"CompliantResources";"ConflictingResources";"ExemptionScope"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/4e676079ae374c15bbd422fc";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Block Azure RM Resource Creation";"no description given";"Default";"";"n/a";"";"";"MOD Administrator";"07/17/2024 03:52:42";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"";"";"deny";"Block Azure RM Resource Creation";"";"Classic resources lack Role Based Access Control (RBAC) and other security features that are available in Azure Resource Manager (ARM) model.";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policydefinitions/e6b96660-3cee-4295-a714-f036a15e1858";"Policy";"Custom";"false";"n/a";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"none";"Mg";"0";"0";"0";"0";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/b1eac52acdcb4edbb959075e";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Ensure secure access to storage account containers";"no description given";"Default";"";"/subscriptions/97faaaf2-cb3e-4a96-ae05-335a2fc0eacd/resourcegroups/rg-ex030505";"";"b1eac52acdcb4edbb959075e (SPObjId: a6febeda-c50d-4032-a2a1-f594333f5481)";"n/a";"01/13/2026 16:41:35";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"";"";"Modify";"Ensure secure access to storage account containers";"";"no description given";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policydefinitions/storageaccount_blobanonymousaccess_modify";"Policy";"Custom";"false";"Modify Allow Blob anonymous access";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"Storage Account Contributor (/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/roleassignments/678a90ac-20ce-4f07-804f-7cdc0bd98d10)";"Mg";"0";"1";"0";"5";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/mcapsgovauditpolicies";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"MCAPSGov Audit Policies";"https://aka.ms/fdpowiki";"Default";"";"n/a";"";"";"n/a";"12/09/2025 07:57:26";"ObjectType: SP APP EXT, ObjectDisplayName: MCAPSGov-AutomationApp, ObjectSignInName: n/a, ObjectId: d2d58a6c-d725-401a-944d-19d295b91ed0";"";"";"n/a";"Set of Audit policies used by MCAPS Governance automation to determine resource compliance with tenant baseline controls";"";"https://aka.ms/fdpowiki";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policysetdefinitions/mcapsgovauditpolicies";"PolicySet";"Custom";"false";"General";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"none";"Mg";"3";"16";"9";"8";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/mcapsgovdenypolicies";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"MCAPSGov Deny Policies";"https://aka.ms/fdpowiki";"Default";"To learn more about the MCAPS deny policies and ensure compliance, please refer to the following wiki: https://aka.ms/AzPolicyWiki.";"n/a";"";"";"n/a";"12/09/2025 07:57:25";"ObjectType: SP APP EXT, ObjectDisplayName: MCAPSGov-AutomationApp, ObjectSignInName: n/a, ObjectId: d2d58a6c-d725-401a-944d-19d295b91ed0";"";"";"n/a";"Set of Deny policies used by MCAPS Governance to restrict specific resource types or SKUs";"";"https://aka.ms/fdpowiki";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policysetdefinitions/mcapsgovdenypolicies";"PolicySet";"Custom";"false";"General";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"none";"Mg";"0";"2";"0";"2";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/mcapsgovdeploypolicies";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"MCAPSGov Deploy and Modify Policies";"https://aka.ms/fdpowiki";"Default";"";"/subscriptions/97faaaf2-cb3e-4a96-ae05-335a2fc0eacd/resourcegroups/rg-ex030505";"";"MCAPSGovDeployPolicies (SPObjId: 4211d2ef-4813-4dfa-a942-8ac0e7d33719)";"n/a";"12/09/2025 07:57:26";"ObjectType: SP APP EXT, ObjectDisplayName: MCAPSGov-AutomationApp, ObjectSignInName: n/a, ObjectId: d2d58a6c-d725-401a-944d-19d295b91ed0";"01/13/2026 16:43:22";"ObjectType: User Member, ObjectDisplayName: System Administrator, ObjectSignInName: autocloudarc@autocloudarc.dev, ObjectId: 1c928d69-50e7-4ffe-a193-f1dbc9ec2ff9";"n/a";"Set of Deploy and Modify policies used by MCAPS Governance to ensure resources are compliant with security controls";"";"https://aka.ms/fdpowiki";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policysetdefinitions/mcapsgovdeploypolicies";"PolicySet";"Custom";"false";"General";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"Owner (/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/roleassignments/0fb9421b-615d-58f6-abed-24163bd30dbf)";"Mg";"0";"16";"0";"9";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/sys.mfa-delete";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Microsoft Azure Multi Factor Authentication Enforcement for Resource Delete Actions";"no description given";"Default";"You are receiving this error because you tried to create, update or delete Azure resources without authenticating through MFA. User accounts must be authenticated through MFA to manage your resources. To resolve this error, go to https://aka.ms/MFAforAzure";"n/a";"effect=AuditAction";"";"n/a";"12/09/2025 18:59:18";"ObjectType: SP App EXT, ObjectDisplayName: Microsoft Authorization System Policy, ObjectSignInName: n/a, ObjectId: d4e40a88-bc32-4c50-acd4-15ca7374e214 (rp)";"12/14/2025 21:59:50";"ObjectType: SP App EXT, ObjectDisplayName: Microsoft Authorization System Policy, ObjectSignInName: n/a, ObjectId: d4e40a88-bc32-4c50-acd4-15ca7374e214 (rp)";"AuditAction";"Multi Factor Authentication Enforcement - Delete";"";"This policy definition blocks resource delete operations when the caller is not authenticated via MFA. For more information, visit https://aka.ms/mfaforazure.";"/providers/microsoft.authorization/policydefinitions/f69cd8b8-9a6e-46b4-be84-244e8b127944";"Policy";"BuiltIn";"False";"System Policy";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"none";"Mg";"0";"0";"0";"0";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/providers/microsoft.authorization/policyassignments/sys.mfa-write";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Microsoft Azure Multi Factor Authentication Enforcement for Resource Write Actions";"no description given";"Default";"You are receiving this error because you tried to create, update or delete Azure resources without authenticating through MFA. User accounts must be authenticated through MFA to manage your resources. To resolve this error, go to https://aka.ms/MFAforAzure";"n/a";"effect=Audit";"";"n/a";"12/09/2025 15:56:40";"ObjectType: SP App EXT, ObjectDisplayName: Microsoft Authorization System Policy, ObjectSignInName: n/a, ObjectId: d4e40a88-bc32-4c50-acd4-15ca7374e214 (rp)";"12/14/2025 18:56:42";"ObjectType: SP App EXT, ObjectDisplayName: Microsoft Authorization System Policy, ObjectSignInName: n/a, ObjectId: d4e40a88-bc32-4c50-acd4-15ca7374e214 (rp)";"Audit";"Multi Factor Authentication Enforcement - Write";"";"This policy definition blocks resource create and update operations when the caller is not authenticated via MFA. For more information, visit https://aka.ms/mfaforazure.";"/providers/microsoft.authorization/policydefinitions/54f51f64-eaa5-44cf-8674-830bcfd14d21";"Policy";"BuiltIn";"False";"System Policy";"inherited 54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"false";"none";"Mg";"0";"0";"0";"0";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policyassignments/audit-resourcerglocation";"alz";"Resource Group and Resource locations should match";"Resource Group and Resource locations should match.";"Default";"Resources must be deployed in the same region as the Resource Group.";"n/a";"";"";"n/a";"01/21/2026 00:37:35";"ObjectType: SP MI Usr, ObjectDisplayName: id-alz-mgmt-eastus2-apply-001, ObjectSignInName: n/a, ObjectId: bbd0bbbd-16fc-4c39-a530-65ced78b7590";"";"";"audit";"Audit resource location matches resource group location";"";"Audit that the resource location matches its resource group location";"/providers/microsoft.authorization/policydefinitions/0a914e76-4921-4c19-b460-a2d36003525a";"Policy";"BuiltIn";"False";"General";"thisScope Mg";"false";"none";"Mg";"1";"0";"2";"324";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policyassignments/audit-trustedlaunch";"alz";"Audit virtual machines for Trusted Launch support";"Trusted Launch improves security of a Virtual Machine which requires VM SKU, OS Disk & OS Image to support it (Gen 2). To learn more about Trusted Launch, visit https://aka.ms/trustedlaunch.";"Default";"Trusted Launch must be used on supported virtual machines for enhanced security.";"n/a";"effect=Audit";"";"n/a";"01/21/2026 00:37:28";"ObjectType: SP MI Usr, ObjectDisplayName: id-alz-mgmt-eastus2-apply-001, ObjectSignInName: n/a, ObjectId: bbd0bbbd-16fc-4c39-a530-65ced78b7590";"";"";"n/a";"Audit virtual machines for Trusted Launch support";"";"Trusted Launch improves security of a Virtual Machine which requires VM SKU, OS Disk & OS Image to support it (Gen 2). To learn more about Trusted Launch, visit https://aka.ms/trustedlaunch.";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/audit-trustedlaunch";"PolicySet";"Custom";"true";"Trusted Launch";"thisScope Mg";"false";"none";"Mg";"0";"0";"0";"0";"0";"false"
"1";"alz";"Azure Landing Zones";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policyassignments/audit-unusedresources";"alz";"Unused resources driving cost should be avoided";"This Policy initiative is a group of Policy definitions that help optimize cost by detecting unused but chargeable resources. Leverage this Policy initiative as a cost control to reveal orphaned resources that are driving cost.";"Default";"Unused resources driving cost must be avoided.";"n/a";"EffectDisks=Audit, EffectPublicIpAddresses=Audit, EffectServerFarms=Audit";"";"n/a";"01/21/2026 00:37:50";"ObjectType: SP MI Usr, ObjectDisplayName: id-alz-mgmt-eastus2-apply-001, ObjectSignInName: n/a, ObjectId: bbd0bbbd-16fc-4c39-a530-65ced78b7590";"";"";"n/a";"Unused resources driving cost should be avoided";"";"Optimize cost by detecting unused but chargeable resources. Leverage this Azure Policy Initiative as a cost control tool to reveal orphaned resources that are contributing cost.";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/audit-unusedresourcescostoptimization";"PolicySet";"Custom";"true";"Cost Optimization";"thisScope Mg";"false";"none";"Mg";"1";"0";"1";"0";"0";"false"
